11-9#38,66#100010000000111
11-9#38,66#100010000000111
11-9#38,66#100010000000111
11-9#38,66#100010000000111
11-9#38,66#100010000000111
11-9#38,65#100010000000111
11-9#38,64#100010000000111
11-9#38,63#100010000000111
11-9#38,62#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-9#38,61#100010000000111
11-10#38,61#100010000000111
11-10#38,61#100010000000111
11-10#38,61#100010000000111
11-13#38,61#100010000000111
11-13#38,599#100010000000111
11-13#38,588#100010000000111
11-13#38,577#100010000000111
11-14#38,566#100010000000111
11-14#38,555#100010000000111
11-14#38,534#100010000000111
11-14#38,513#100010000000111
11-14#38,492#100010000000111
11-14#38,471#100010000000111
11-14#38,45#100010000000111
11-15#38,44#100010000000111
11-15#38,43#100010000000111
11-15#38,42#100010000000111
11-15#38,41#100010000000111
11-15#38,4#100010000000111
11-15#38,4#100010000000111
11-16#38,4#100010000000111
11-16#38,4#100010000000111
